timestamp,groundSteering
1584543181396790,0.06298564
1584543181497237,0.05998505
1584543181597720,0.0509833
1584543181698231,0.0239958
1584543181798686,0.01200234
1584543181899184,0.01200234
1584543181999663,0.009001753
1584543182100135,0
1584543182200607,0
1584543182301154,0
1584543182401697,0
1584543182502184,0
1584543182602612,0
1584543182703061,0
1584543182803505,0
1584543182903923,0
1584543183004360,0
1584543183104810,0.003000584
1584543183205249,0.0479916
1584543183305686,0.05998505
1584543183406095,0.05998505
1584543183506528,0.07197852
1584543183606933,0.0749791
1584543183707358,0.0749791
1584543183807769,0.0749791
1584543183908219,0.07197852
1584543184008677,0.06298564
1584543184109120,0.05998505
1584543184209553,0
1584543184310009,0.0269875
1584543184410476,0.1739362
1584543184510923,0.1739362
1584543184611531,0.2009238
1584543184712019,0.290888
1584543184812461,0.290888
1584543184913306,0.290888
1584543185014283,0.290888
1584543185114819,0.290888
1584543185215469,0.290888
1584543185315927,0.2788945
1584543185416384,0.1439482
1584543185516837,0
1584543185617279,0
1584543185717712,0
1584543185818170,0
1584543185918755,0.08096252
1584543186019606,0.1709357
1584543186120077,0.1649345
1584543186220757,0.08096252
1584543186321534,0
1584543186421997,0
1584543186522568,0
1584543186623091,0
1584543186723643,0.1679351
1584543186824229,0.1889303
1584543186924841,0.1499404
1584543187025365,0.1229529
1584543187126140,0.005992291
1584543187226802,0.05698447
1584543187327437,0.2129261
1584543187428037,0.2549165
1584543187528645,0
1584543187629253,0
1584543187729984,0
1584543187830658,0
1584543187931582,0.2788945
1584543188032523,0
1584543188133203,0
1584543188233982,0
1584543188334471,0
1584543188435018,0
1584543188535595,0
1584543188636176,0
1584543188736806,0
1584543188837716,0
1584543188938745,0.1199524
1584543189039257,0.1139512
1584543189139769,0.05997618
1584543189240457,0.05097442
1584543189341236,0.04198155
1584543189442108,0.02998809
1584543189542830,0.02998809
1584543189644047,0.02998809
1584543189744342,0.03297979
1584543189844960,0.03297979
1584543189945687,0.1259535
1584543190046414,0.1769368
1584543190147134,0.1919309
1584543190248015,0.2639005
1584543190348734,0.290888
1584543190449499,0.290888
1584543190550137,0.275894
1584543190651055,0.1739362
1584543190751857,0.1019577
1584543190852640,0.137947
1584543190953406,0.1409476
1584543191054145,0.03598038
1584543191154903,0
1584543191255944,0
1584543191356728,0.1889392
1584543191457516,0
1584543191558156,0
1584543191658890,0
1584543191759658,0
1584543191860718,0
1584543191960719,0
1584543192061485,0
1584543192162288,0
1584543192263761,0.09596544
1584543192363518,0
1584543192464210,0
1584543192564891,0
1584543192665664,0
1584543192766581,0
1584543192867232,0
1584543192967823,0
1584543193068466,0
1584543193169195,0
1584543193269807,0
1584543193370556,0
1584543193471364,0
1584543193571951,0
1584543193672624,0
1584543193773389,0
1584543193874325,0
1584543193975090,0.143957
1584543194075955,0
1584543194176775,0
1584543194277417,0
1584543194378151,0
1584543194478927,0
1584543194579660,0
1584543194680385,0.290888
1584543194781392,0
1584543194882187,0
1584543194983004,0
1584543195083683,0
1584543195184351,0
1584543195284865,0.01499404
1584543195385521,0.005992291
1584543195486496,0.09596544
1584543195586689,0.1139512
1584543195687197,0.2429053
1584543195787018,0.2429053
1584543195887784,0.236913
1584543195988689,0.1919309
1584543196089221,0.09895714
1584543196189818,0.05097442
1584543196290454,0
1584543196391596,0.1409476
1584543196491769,0.1439482
1584543196592885,0.1439482
1584543196693462,0.2818951
1584543196794093,0.290888
1584543196894808,0.290888
1584543196995539,0.290888
1584543197096125,0.290888
1584543197196664,0.290888
1584543197297192,0
1584543197397805,0
1584543197498322,0
1584543197598867,0
1584543197699461,0.290888
1584543197800013,0
1584543197900537,0
1584543198001231,0
1584543198102081,0
1584543198202979,0
1584543198303619,0
1584543198404132,0
1584543198504628,0
1584543198605120,0
1584543198705597,0.152941
1584543198806182,0
1584543198907481,0
1584543199007250,0.02398692
1584543199107879,0
1584543199208735,0
1584543199309360,0
1584543199410051,0
1584543199510566,0
1584543199611306,0
1584543199711847,0
1584543199812503,0
1584543199913094,0
1584543200013705,0
1584543200114265,0
1584543200214849,0.1049583
1584543200315758,0.1499404
1584543200416065,0
1584543200515980,0
1584543200616908,0.05097442
1584543200717911,0.002991707
1584543200818875,0
1584543200919797,0
1584543201020759,0
1584543201121596,0.1709357
1584543201222559,0.1109595
1584543201322370,0
1584543201422979,0.01798575
1584543201523651,0.01798575
1584543201624399,0.05997618
1584543201725234,0.08996427
1584543201825887,0.08996427
1584543201926638,0.08096252
1584543202027392,0.1499404
1584543202127985,0.1649345
1584543202228554,0.1289541
1584543202329115,0.1259535
1584543202429559,0.1259535
1584543202530019,0.1259535
1584543202630504,0.1049583
1584543202731044,0.05997618
1584543202831557,0.04798272
1584543202932069,0.03598038
1584543203032631,0.002991707
1584543203133211,0
1584543203233735,0
1584543203334284,0
1584543203434869,0
1584543203535480,0
1584543203636104,0.01199346
1584543203736743,0.1139512
1584543203837347,0.05697559
1584543203937913,0
1584543204038536,0.1169518
1584543204139167,0.1499404
1584543204239796,0.1469399
1584543204340434,0.1289541
1584543204441369,0.1289541
1584543204541947,0.1289541
1584543204642560,0.08696368
1584543204743115,0
1584543204843642,0
1584543204944141,0
1584543205044709,0.2039243
1584543205145342,0.2249195
1584543205245917,0.1889303
1584543205346501,0
1584543205447084,0
1584543205547686,0
1584543205648262,0.143957
1584543205748875,0.09896602
1584543205849453,0
1584543205949960,0
1584543206050474,0
1584543206151061,0
1584543206251574,0
1584543206352177,0
1584543206452871,0.009001753
1584543206553398,0
1584543206653968,0.003000584
1584543206754566,0.1319547
1584543206855138,0.1199612
1584543206955735,0.02699638
1584543207056301,0.006001169
1584543207156833,0
1584543207257415,0
1584543207357967,0.03298867
1584543207458537,0.2159267
1584543207559180,0
1584543207659860,0
1584543207760784,0
1584543207860800,0.236913
1584543207961543,0.2579082
1584543208062110,0.2279112
1584543208162655,0.221919
1584543208263235,0.2009238
1584543208363782,0.1799285
1584543208464501,0.1589422
1584543208565173,0.1169518
1584543208665842,0.07497022
1584543208766607,0.03297979
1584543208867291,0
1584543208967938,0
1584543209068584,0.0269875
1584543209169231,0.08096252
1584543209269985,0.0839631
1584543209370609,0.1349464
1584543209471282,0.1349464
1584543209571837,0.1349464
1584543209672328,0.1259535
1584543209772838,0
1584543209873438,0
1584543209974056,0
1584543210074736,0
1584543210175408,0
1584543210276066,0.002991707
1584543210376707,0
1584543210477375,0
1584543210578004,0
1584543210678531,0
1584543210779083,0
1584543210879703,0
1584543210980343,0
1584543211080940,0
1584543211181619,0
1584543211282148,0
1584543211382650,0
1584543211483182,0
1584543211583774,0.0269875
1584543211684266,0.0839631
1584543211784753,0.08996427
1584543211885364,0.08696368
1584543211986012,0.08696368
1584543212086677,0.08696368
1584543212187362,0.1199524
1584543212288060,0.1229529
1584543212388734,0.1259535
1584543212489350,0.1829291
1584543212590021,0.2699017
1584543212690611,0.290888
1584543212791262,0.290888
1584543212891837,0.1949226
1584543212992358,0.1949226
1584543213092855,0.152941
1584543213193389,0
1584543213293945,0
1584543213394450,0.290888
1584543213494953,0.290888
1584543213595682,0
1584543213696377,0
1584543213797132,0
1584543213897787,0.290888
1584543213998232,0
1584543214098657,0
1584543214199149,0
1584543214299585,0
1584543214400352,0
1584543214501174,0
1584543214601677,0
1584543214702168,0
1584543214802610,0
1584543214903088,0
1584543215003567,0.05698447
1584543215104009,0.07797969
1584543215204696,0
1584543215305331,0
1584543215405784,0
1584543215506207,0
1584543215606658,0.1049583
1584543215707151,0
1584543215807604,0
