timestamp,groundSteering,groundTruth
1584543408375575,-0.016,-0
1584543408478606,-0.04,-0
1584543408576173,-0.046,-0
1584543408677866,-0.054,-0
1584543408775854,-0.066,-0
1584543408875259,0.006,-0
1584543408975594,0.015,-0.161934
1584543409075385,0.03,-0
1584543409178080,-0.093,-0
1584543409275443,-0.054,-0
1584543409375620,-0.031,-0
1584543409475361,-0.019,-0
1584543409575990,-0.01,-0
1584543409677523,-0.002,-0.107959
1584543409775656,0.006,-0
1584543409875065,0.015,-0
1584543409975452,0.054,-0
1584543410075068,0.077,0.0239958
1584543410177435,0.098,0.290888
1584543410275152,0.096,0.290888
1584543410374967,0.055,-0
1584543410474931,0.002,-0
1584543410575782,0.075,-0
1584543410680626,-0.054,-0.236913
1584543410775289,-0.06,-0
1584543410875151,-0.062,-0
1584543410974928,-0.015,-0
1584543411075099,0.02,-0
1584543411177277,0.039,0.290888
1584543411274771,0.03,-0
1584543411374794,-0.045,-0
1584543411478069,0.009,-0
1584543411575721,-0.011,-0
1584543411676912,-0.014,-0
1584543411774848,-0.016,-0
1584543411874816,-0.02,-0
1584543411974741,-0.025,-0
1584543412074815,-0.032,-0.14994
1584543412176921,-0.04,-0
1584543412278250,0.011,-0
1584543412376105,-0.028,-0
1584543412474791,-0.004,-0
1584543412575197,0.008,-0
1584543412677057,0.02,-0
1584543412774711,-0.05,-0
1584543412875452,-0.052,-0
1584543412974843,-0.002,-0
1584543413074816,0.005,-0
1584543413176729,-0.076,-0.0899643
1584543413274819,-0.065,-0
1584543413374646,-0.051,-0
1584543413474447,-0.021,-0
1584543413575337,0.006,-0
1584543413677049,-0.088,-0.152941
1584543413774675,-0.077,-0.206925
1584543413874615,-0.053,-0.206925
1584543413974257,-0.001,-0.203924
1584543414074504,-0.12,-0.203924
1584543414177091,-0.076,-0.203924
1584543414274210,-0.016,-0.203924
1584543414374196,-0.117,-0.200924
1584543414474602,-0.073,-0.200924
1584543414574815,-0.014,-0.200924
1584543414676219,-0.014,-0.200924
1584543414774528,-0.123,-0.200924
1584543414874308,-0.087,-0.191931
1584543414974031,-0.02,-0
1584543415074286,-0.001,-0
1584543415176123,0.004,-0
1584543415273964,-0.057,-0
1584543415374124,0.037,-0
1584543415473957,0.05,-0
1584543415574750,0.059,-0
1584543415676197,0.073,-0
1584543415773836,0.068,-0
1584543415873822,0.06,-0
1584543415977202,0.05,-0
1584543416074025,0.032,0.158951
1584543416176059,-0.031,-0
1584543416273943,0.054,-0
1584543416373731,0.016,-0
1584543416473708,0.018,-0
1584543416574534,0.022,-0
1584543416675775,0.023,-0
1584543416773656,-0.003,-0
1584543416873958,0.065,-0
1584543416973617,-0.028,-0
1584543417073614,-0.031,-0
1584543417175880,-0.035,-0.197923
1584543417273574,-0.041,-0
1584543417373618,-0.022,-0
1584543417476942,0.041,-0
1584543417574548,-0.032,-0
1584543417675682,-0.038,-0
1584543417773782,0.064,0.290888
1584543417874101,0.084,-0
1584543417973676,0.072,-0
1584543418073675,0.028,-0
1584543418175615,-0.087,-0
1584543418273404,-0.041,-0.209925
1584543418373627,-0.053,-0
1584543418473828,-0.049,-0
1584543418574252,0.01,-0
1584543418675835,-0.028,-0
1584543418773323,-0.026,-0
1584543418873318,-0.025,-0.00599229
1584543418975926,-0.023,-0
1584543419073817,0.006,-0
1584543419175414,-0.108,-0.00599229
1584543419273527,-0.098,-0.00899288
1584543419373214,-0.086,-0.0629768
1584543419473205,-0.07,-0.128954
1584543419574004,-0.042,-0.110959
1584543419675211,-0.151,-0.104958
1584543419773196,-0.151,-0.0929649
1584543419874048,-0.082,-0.0899643
1584543419973432,-0.032,-0.0899643
1584543420073430,-0.133,-0.0899643
1584543420175612,-0.133,-0.0929649
1584543420273264,-0.069,-0.0719696
1584543420373130,-0.017,-0
1584543420475760,-0.131,-0
1584543420573917,-0.131,-0
1584543420675032,-0.185,-0
1584543420773153,-0.083,-0.0869637
1584543420872995,-0.058,-0.239914
1584543420972909,-0.02,-0.014994
1584543421073099,-0.02,-0
1584543421174944,-0.02,-0
1584543421275457,-0.02,-0.119952
1584543421373385,-0.194,-0.116952
1584543421473269,-0.193,-0.116952
1584543421573703,-0.175,-0.116952
1584543421675393,-0.175,-0.116952
1584543421772792,-0.194,-0.116952
1584543421872800,-0.176,-0.116952
1584543421972963,-0.051,-0.113951
1584543422072722,-0.133,-0.110959
1584543422174397,-0.106,-0.110959
1584543422272896,-0.069,-0.0929649
1584543422372679,-0.02,-0.0659685
1584543422472858,-0.126,-0
1584543422573576,-0.099,-0
1584543422674338,-0.073,-0
1584543422772627,-0.053,-0
1584543422872780,-0.027,-0.122953
1584543422972877,0.006,-0
1584543423072677,-0.129,-0
1584543423175106,-0.129,-0.00599229
1584543423272866,-0.144,-0.215918
1584543423372525,-0.073,-0
1584543423472857,-0.045,-0
1584543423576348,-0.105,-0
1584543423674489,-0.084,-0
1584543423772772,-0.063,-0
1584543423872496,-0.034,-0
1584543423972388,0.039,-0
1584543424072567,-0.038,-0
1584543424175115,-0.027,-0
1584543424272562,-0.006,-0
1584543424375038,0.042,-0
1584543424472298,0.068,-0
1584543424573146,0.067,-0
1584543424674225,0.063,0.0509833
1584543424772782,0.055,0.0659773
1584543424872598,0.045,0.0749791
1584543424972384,0.017,0.0929737
1584543425072155,0.148,0.0869726
1584543425173901,0.218,0.0689779
1584543425272538,0.207,0.0689779
1584543425372589,0.198,0.0689779
1584543425472068,0.205,0.0689779
1584543425572869,0.043,0.0689779
1584543425673725,0.171,0.0689779
1584543425772051,0.152,0.0689779
1584543425872764,0.134,0.0689779
1584543425971966,0.147,0.0719785
1584543426072338,0.153,0.0689779
1584543426173748,0.136,0.0689779
1584543426271980,0.062,0.0719785
1584543426371884,-0.002,0.0689779
1584543426472161,0.048,-0
1584543426572621,0.005,-0.0479827
1584543426673498,-0.085,-0.14694
1584543426772283,-0.083,-0.134946
1584543426871976,-0.066,-0.128954
1584543426972452,-0.023,-0.128954
1584543427071949,-0.203,-0.128954
1584543427173790,-0.183,-0.128954
1584543427275665,-0.268,-0.107959
1584543427372201,0.007,-0.104958
1584543427471993,-0.098,-0.104958
1584543427572353,-0.056,-0.104958
1584543427673668,0.001,-0.104958
1584543427771687,-0.118,-0.0959654
1584543427871849,-0.085,-0
1584543427972033,-0.04,-0
